Web Search interest: ebola
United States; Indonesia
Past 90 days

Interest over time
Day,United States,Indonesia
South Sumatra,0
Central Sulawesi,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Indonesia
City,Indonesia
Denpasar,100
Jakarta,76
Batam,65
Tangerang,65
Yogyakarta,61
Pontianak,58
Bandung,57
Malang,56
Surabaya,56
Depok,55
Banjarmasin,54
Medan,52
Semarang,51
Bekasi,51
Bandar Lampung,48



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5

Top searches for Indonesia
virus,100
virus ebola,100
penyakit ebola,35
apa ebola,15
ebola adalah,15
ebola itu apa,15
ebola indonesia,10
apa virus ebola,10
virus ebola adalah,10
gejala ebola,5
penyebab ebola,5
virus ebola indonesia,5
ebola di indonesia,5
wabah ebola,5
tentang ebola,5
penyebab virus ebola,5
ciri ebola,5
ebola zombie,5
gejala virus ebola,5
ebola afrika,5
tentang virus ebola,5
gambar ebola,5
apa penyakit ebola,5
pengertian ebola,5
ebola di afrika,5
foto ebola,0
penyebab penyakit ebola,0
korban ebola,0
asal virus ebola,0
gambar virus ebola,0
penularan ebola,0
apakah virus ebola,0
ciri virus ebola,0
pengertian virus ebola,0



Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%

Rising searches for Indonesia
apa virus ebola,Breakout
ebola di indonesia,Breakout
ebola indonesia,Breakout
gejala ebola,Breakout
penyebab ebola,Breakout
virus ebola adalah,Breakout
virus ebola indonesia,Breakout
wabah ebola,Breakout
apa ebola,+250%
penyakit ebola,+250%



