Web Search interest: ebola
United States; Russia
Past 90 days

Interest over time
Day,United States,Russia
Republic of Tatarstan,0
Tambov Oblast,0
Tomsk Oblast,0
Tula Oblast,0
Tver Oblast,0
Tuva,0
Tyumen Oblast,0
Udmurtia,0
Ulyanovsk Oblast,0
Volgograd Oblast,0
Vladimir Oblast,0
Vologda Oblast,0
Voronezh Oblast,0
Yamalo-Nenets Autonomous Okrug,0
Yaroslavl Oblast,0
Jewish Autonomous Oblast,0
Zabaykalsky Krai,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for Russia
City,Russia
Moscow,100
Saint Petersburg,65



Top searches for United States
ebola virus,100
ebola symptoms,45
ebola outbreak,40
us ebola,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,10
ebola cdc,10
africa,10
cdc,10
africa ebola,10
ebola cases,10
ebola spread,10
the ebola virus,10
usa ebola,10
ebola nurse,10
airborne ebola,5
ebola zombie,5
ebola new york,5
who ebola,5
ebola disease,5
ebola map,5
ebola cure,5
cnn,5
cnn ebola,5
ebola in texas,5
ebola virus symptoms,5
ebola update,5
ebola patients,5
ebola in africa,5
ebola death,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
ebola in usa,5
ebola virus outbreak,5
us ebola cases,5
where is ebola,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
obama ebola,5
liberia ebola,5

Top searches for Russia
ebola virus,100



Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,050%
texas ebola,+850%
ebola cases,+400%
ebola in us,+250%
us ebola,+170%
symptoms of ebola,+90%
cdc,+80%
ebola cdc,+80%

Rising searches for Russia
ebola virus,Breakout



