Web Search interest: ebola
United States; India
Past 90 days

Interest over time
Day,United States,India
Manipur,0
Mizoram,0
Nagaland,0
Sikkim,0
Tripura,0


Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,55
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Chicago,47
Atlanta,47

Top cities for India
City,India
Chinchwad,100
Gurgaon,88
Thiruvananthapuram,86
Bhubaneswar,85
Bangalore,85
New Okhla Industrial Development Area,80
Chennai,72
Ernakulam,67
Secunderabad,66
Mumbai,62
Hyderabad,57
New Delhi,54
Coimbatore,51
Pune,50
Howrah,46



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news,25
ebola news,25
ebola in us,20
dallas ebola,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
ebola cdc,10
cdc,10
africa ebola,10
africa,10
ebola spread,10
ebola cases,10
the ebola virus,10
ebola usa,10
nurse ebola,10
new york ebola,10
airborne ebola,10
ebola zombie,10
who ebola,10
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola patients,5
ebola in africa,5
ebola update,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola america,5
ebola virus outbreak,5
where is ebola,5
duncan ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola doctor,5
obama ebola,5

Top searches for India
virus,100
virus ebola,100
ebola india,40
ebola in india,30
ebola virus india,15
ebola symptoms,15
ebola news,10
ebola disease,10
what is ebola,10
ebola virus symptoms,10
ebola outbreak,5
symptoms of ebola,5
africa,5
ebola karnataka,5
ebola wiki,5
ebola meaning,5
ebola latest,5
about ebola,5
ebola virus news,5
the ebola virus,5
ebola in karnataka,5
ebola virus disease,5
ebola in africa,5
ebola virus wiki,5
ebola spread,5
ebola images,5
who ebola,5
ebola nigeria,0
ebola news india,0
ebola latest news,0
nigeria,0
ebola in hindi,0
ebola virus outbreak,0
ebola mumbai,0
ebola treatment,0
ebola pictures,0
ebola cure,0
ebola patient,0
ebola delhi,0
ebola fever,0
ebola bangalore,0
ebola virus images,0
ebola pune,0
about ebola virus,0
ebola chennai,0
ebola vaccine,0
ebola in mumbai,0
ebola virus pictures,0
ebola causes,0
ebola in nigeria,0



Rising searches for United States
nurse ebola,Breakout
dallas ebola,+2,800%
ebola patient,+800%
texas ebola,+750%
ebola cases,+400%
ebola in us,+250%
ebola us,+160%
symptoms of ebola,+120%
ebola cdc,+110%
cdc,+90%

Rising searches for India
ebola karnataka,Breakout
ebola symptoms,Breakout
ebola virus symptoms,Breakout
ebola wiki,Breakout
symptoms of ebola,Breakout
ebola in india,+950%
ebola india,+600%
ebola virus india,+400%
ebola news,+300%
virus,+100%



